date,hour,demand
2021-03-01,0,61.35298076930582
2021-03-01,1,62.35169737375885
2021-03-01,2,63.348664156317355
2021-03-01,3,64.34705402419569
2021-03-01,5,66.38217522358904
2021-03-01,6,67.39137626068259
2021-03-01,7,68.40876234738926
2021-03-01,8,69.43522688855991
2021-03-01,9,70.47092612818545
2021-03-01,10,71.51534022162856
2021-03-01,11,72.56738494483227
2021-03-01,12,73.62555916588872
2021-03-01,13,74.68811097773865
2021-03-01,14,75.75320498874412
2021-03-01,15,76.81907464522897
2021-03-01,16,77.88414639479726
2021-03-01,17,78.94712661842733
2021-03-01,18,80.00704707995774
2021-03-01,19,81.06326962158539
2021-03-01,20,82.11545542911597
2021-03-01,21,83.16350791083619
2021-03-01,22,84.20750069371539
2021-03-01,23,85.24760319919915
2021-03-02,0,61.50461145347856
2021-03-02,1,62.53751905057084
2021-03-02,2,63.567071856462675
2021-03-02,4,65.62586787252661
2021-03-02,6,67.68156150113542
2021-03-02,7,68.70186778956743
2021-03-02,8,69.719577023189
2021-03-02,9,70.73519200168232
2021-03-02,10,71.74945203947743
2021-03-02,11,72.76335618474914
2021-03-02,12,73.77815169639382
2021-03-02,13,74.79528251370434
2021-03-02,14,75.8162973045862
2021-03-02,15,76.8427219886033
2021-03-02,16,77.87590680187645
2021-03-02,17,78.91686238793761
2021-03-02,18,79.96610249975755
2021-03-02,19,81.02351223603146
2021-03-02,20,82.08826003097309
2021-03-02,21,83.15876879995226
2021-03-02,22,84.23275686701152
2021-03-02,23,85.30735293867696
2021-03-03,0,61.59987781537802
2021-03-03,2,63.69818236454191
2021-03-03,3,64.7546097997838
2021-03-03,4,65.79876976855894
2021-03-03,5,66.82852991304082
2021-03-03,6,67.84274825579963
2021-03-03,7,68.84146310998622
2021-03-03,8,69.8259918856269
2021-03-03,9,70.79892190612011
2021-03-03,10,71.76398541605138
2021-03-03,11,72.72582142393661
2021-03-03,12,73.6896379454515
2021-03-03,13,74.6607985594304
2021-03-03,14,75.64436592358099
2021-03-03,15,76.64464108188044
2021-03-03,16,77.66474028903122
2021-03-03,17,78.70625021457859
2021-03-03,18,79.76899764182565
2021-03-03,19,80.85096138074815
2021-03-03,20,81.94834266557224
2021-03-03,21,83.05579672200214
2021-03-03,22,84.16681362895808
2021-03-03,23,85.27422237586143
2021-03-04,0,61.59137527759241
2021-03-04,1,62.67038963465766
2021-03-04,2,63.72632981318694
2021-03-04,4,65.78783382530109
2021-03-04,6,67.82069465883265
2021-03-04,7,68.79305587257467
2021-03-04,8,69.7404121823737
2021-03-04,9,70.66802617206086
2021-03-04,10,71.58304278901794
2021-03-04,11,72.49394920780091
2021-03-04,12,73.4098956887551
2021-03-04,13,74.33993190458814
2021-03-04,14,75.29222286566588
2021-03-04,15,76.2733128294311
2021-03-04,16,77.28750384678983
2021-03-04,17,78.3364078201676
2021-03-04,18,79.41871761484322
2021-03-04,19,80.53022489007698
2021-03-04,20,81.66409135924803
2021-03-04,21,82.81135793610346
2021-03-04,22,83.9616546395479
2021-03-04,23,85.10405517544854
2021-03-05,0,61.44860138370294
2021-03-05,1,62.54484340520634
2021-03-05,2,63.60625150707447
2021-03-05,3,64.62850754656093
2021-03-05,4,65.61054951991774
2021-03-05,5,66.55474889356474
2021-03-05,6,67.46679380904766
2021-03-05,7,68.35528080844061
2021-03-05,8,69.23104351005719
2021-03-05,9,70.10627057435612
2021-03-05,10,70.99348515415224
2021-03-05,11,71.90447195022911
2021-03-05,12,72.84924460937229
2021-03-05,13,73.83514474675427
2021-03-05,14,74.8661542953279
2021-03-05,15,75.94248585554742
2021-03-05,16,77.06049259600663
2021-03-05,17,78.2129119709663
2021-03-05,18,79.38942841876707
2021-03-05,19,80.57751184064566
2021-03-05,20,81.76346357209215
2021-03-05,21,82.93358204407002
2021-03-05,22,84.07534822956039
2021-03-05,23,85.17852749327545
2021-03-06,0,61.45668587836619
2021-03-06,1,62.4654625643511
2021-03-06,2,63.42647415335176
2021-03-06,4,65.37737610829222
2021-03-06,7,68.32711521559504
2021-03-06,8,69.19025306618356
2021-03-06,9,70.0457671494962
2021-03-06,10,70.90853415808056
2021-03-06,11,71.79300150011461
2021-03-06,12,72.71193097600786
2021-03-06,13,73.67527522957758
2021-03-06,14,74.68928685890944
2021-03-06,15,75.75594073739103
2021-03-06,16,76.8727234126444
2021-03-06,17,78.03281170620765
2021-03-06,18,79.22562859437888
2021-03-06,19,80.43773111161175
2021-03-06,20,81.65395535299757
2021-03-06,21,82.85872033571876
2021-03-06,22,84.03737764511672
2021-03-06,23,85.17748883678229
2021-03-07,0,61.49051382763406
2021-03-07,1,62.53023832283652
2021-03-07,2,63.51680446501969
2021-03-07,3,64.45438644918654
2021-03-07,4,65.351440864657
2021-03-07,5,66.21998520189582
2021-03-07,7,68.10703713030156
2021-03-07,8,68.96345319008924
2021-03-07,9,69.83740447213948
2021-03-07,10,70.74310635408129
2021-03-07,11,71.69205043401729
2021-03-07,12,72.69199739571087
2021-03-07,13,73.74629523327309
2021-03-07,14,74.85358355998792
2021-03-07,15,76.00791071082014
2021-03-07,16,77.19925386246248
2021-03-07,17,78.41439668720929
2021-03-07,18,79.638087318134
2021-03-07,19,80.85437447805728
2021-03-07,20,82.04800375605433
2021-03-07,21,83.20575063850002
2021-03-07,22,84.31757251438715
2021-03-07,23,85.37747798870265
2021-03-08,0,61.604632828252726
2021-03-08,1,62.56108321548436
2021-03-08,2,63.475024900537775
2021-03-08,3,64.35773027272663
2021-03-08,4,65.22313276629238
2021-03-08,6,67.11905974856842
2021-03-08,7,67.99596980902197
2021-03-08,8,68.9004435786527
2021-03-08,9,69.84404553794944
2021-03-08,10,70.83479399028225
2021-03-08,11,71.87647652205726
2021-03-08,12,72.96834544455847
2021-03-08,13,74.1052182630294
2021-03-08,14,75.27797182238143
2021-03-08,15,76.47438355066573
2021-03-08,16,77.68024233678653
2021-03-08,17,78.88062781192994
2021-03-08,18,80.06124227574266
2021-03-08,19,81.20967549499048
2021-03-08,20,82.31648942221915
2021-03-08,21,83.37602686782466
2021-03-08,22,84.3868737225183
2021-03-08,23,85.35193610611707
2021-03-09,0,61.49872470225549
2021-03-09,1,62.39630305434841
2021-03-09,2,63.27790061424357
2021-03-09,3,64.15736412630977
2021-03-09,4,65.04849189543192
2021-03-09,5,65.963791327736
2021-03-09,6,66.91336802403728
2021-03-09,7,67.9040459019632
2021-03-09,8,68.9387958480018
2021-03-09,9,70.01652152171035
2021-03-09,10,71.1322178462523
2021-03-09,11,72.2774834880508
2021-03-09,12,73.44133640564968
2021-03-09,13,74.61125428122666
2021-03-09,14,75.7743418094926
2021-03-09,15,76.91851617881184
2021-03-09,16,78.0336015482559
2021-03-09,17,79.11223287175278
2021-03-09,18,80.15048808417475
2021-03-09,19,81.14819364415048
2021-03-09,20,82.10887925876378
2021-03-09,21,83.03939039713651
2021-03-09,22,83.9491988730255
2021-03-09,23,84.849479405077
2021-03-10,0,60.972636915752396
2021-03-10,1,61.888811231337506
2021-03-10,2,62.82840076103982
2021-03-10,4,64.83126181408579
2021-03-10,6,66.86922651715719
2021-03-10,7,67.91069936249207
2021-03-10,8,68.98558194445299
2021-03-10,9,70.08814843208806
2021-03-10,10,71.210115996358
2021-03-10,11,72.34147451158817
2021-03-10,12,73.47146932812761
2021-03-10,13,74.58964204202005
2021-03-10,14,75.68682960205123
2021-03-10,15,76.7560269897391
2021-03-10,16,77.79303255545345
2021-03-10,17,78.79681652228952
2021-03-10,18,79.7695800970447
2021-03-10,19,80.71650246338078
2021-03-10,20,81.64520282237362
2021-03-10,21,82.56497174557146
2021-03-10,22,83.48584784931707
2021-03-10,23,84.41763014117811
2021-03-11,0,60.589517804990486
2021-03-11,2,62.59937009262937
2021-03-11,3,63.60675225955903
2021-03-11,4,64.64503880947163
2021-03-11,5,65.71204171416143
2021-03-11,6,66.80272150775123
2021-03-11,7,67.90970181563392
2021-03-11,8,69.02401138815982
2021-03-11,9,70.1359806221467
2021-03-11,10,71.23620472902248
2021-03-11,11,72.31647938523155
2021-03-11,12,73.37061747595436
2021-03-11,13,74.39506714287253
2021-03-11,14,75.38927065117197
2021-03-11,15,76.3557287427961
2021-03-11,16,77.29976372426157
2021-03-11,17,78.22900380065326
2021-03-11,18,79.15263829800074
2021-03-11,19,80.08051580092535
2021-03-11,20,81.02217270953815
2021-03-11,21,81.98588678576627
2021-03-11,22,82.97784821437718
2021-03-11,23,84.00152971897964
2021-03-12,0,60.277914183313825
2021-03-12,1,61.36304255441556
2021-03-12,2,62.4718279941188
2021-03-12,4,64.62867439486644
2021-03-12,5,65.75893650073348
2021-03-12,6,66.88470221191037
2021-03-12,7,67.99590061359063
2021-03-12,8,69.0837664243081
2021-03-12,9,70.14171398646135
2021-03-12,10,71.16601043771452
2021-03-12,11,72.15618108854804
2021-03-12,12,73.11510513973182
2021-03-12,13,74.04878917601604
2021-03-12,14,74.96583660402996
2021-03-12,15,75.87666044707073
2021-03-12,16,76.79251187541539
2021-03-12,17,77.72441513576473
2021-03-12,18,78.68210936403334
2021-03-12,19,79.673098129269
2021-03-12,20,80.70189835894627
2021-03-12,21,81.76956233629294
2021-03-12,22,82.87352137030449
2021-03-12,23,84.00776983344772
2021-03-13,0,60.38397213184296
2021-03-13,1,61.549873544066976
2021-03-13,2,62.71388072744942
2021-03-13,5,65.92875414597503
2021-03-13,6,67.05354330083182
2021-03-13,7,68.14433849167129
2021-03-13,8,69.19532869148776
2021-03-13,9,70.20433831533951
2021-03-13,10,71.17308295077652
2021-03-13,11,72.10706679655215
2021-03-13,12,73.01512727124803
2021-03-13,13,73.90866509090858
2021-03-13,14,74.8006276693132
2021-03-13,15,75.70433719685704
2021-03-13,16,76.63226998072047
2021-03-13,17,77.59489911170611
2021-03-13,18,78.59970768838534
2021-03-13,19,79.65046505610233
2021-03-13,20,80.74683510759037
2021-03-13,21,81.88435574958623
2021-03-13,22,83.05479488604041
2021-03-13,23,84.24685378883065
2021-03-14,0,60.66775249619057
2021-03-14,1,61.86203458800066
2021-03-14,2,63.03642187772608
2021-03-14,3,64.17868717012267
2021-03-14,5,66.31184305785862
2021-03-14,6,67.36511838285655
2021-03-14,7,68.36936454883734
2021-03-14,8,69.32733569942083
2021-03-14,9,70.24595155687278
2021-03-14,10,71.13570858200686
2021-03-14,11,72.00976551080818
2021-03-14,12,72.88278384566368
2021-03-14,13,73.76962638769797
2021-03-14,14,74.68403015225577
2021-03-14,15,75.6373727852729
2021-03-14,16,76.63764361791593
2021-03-14,17,77.68871246078501
